phrase 1	phrase 1 clean	phrase 2	phrase 2 clean	side to be replaced	SST replacement 1	SST replacement 2	SST replacement 3	SST replacement 4
the banality and hypocrisy	the banality and hypocrisy	of too much kid+AC0-vid	of too much kid+AC0-vid	right	of a conflicted soldier	of its chilly predecessor	of a shaggy dog story	of arrested development
a war tribute	a war tribute	is disgusting to begin with	is disgusting to begin with	left	this wonderful portrait	the modern master	a playful recapitulation	a cruelly funny twist
a war tribute	a war tribute	is disgusting to begin with	is disgusting to begin with	right	doesn't make up for a weak movie	makes piecing the story together frustrating difficult	doesn't quite fit	doesn't work in a modern context
the moral dilemma	the moral dilemma	at the movie 's heart	at the movie's heart	left	the human story	the dramatic potential	the primitive force	the overall feel
the moral dilemma	the moral dilemma	at the movie 's heart	at the movie's heart	right	of the comedy	for the geek generation	of its characters' lives	of female friendship
All the pieces	all the pieces	fall together without much surprise	fall together without much surprise	left	the playful paranoia	the wistful everyday ironies	their deepest notions	the cultural and moral issues
All the pieces	all the pieces	fall together without much surprise	fall together without much surprise	right	don't work in a modern context	seem contrived and secondhand	don't quite fit	don't make up for a weak movie
the pulsating thick	the pulsating thick	of a truly frightening situation	of a truly frightening situation	left	the tiny revelations	all the scenic appeal	a friendly kick	the ultimate mysteries
the pulsating thick	the pulsating thick	of a truly frightening situation	of a truly frightening situation	right	of gun violence	of inexcusable dumb innocence	of continuity errors	of grief and loss
the life experiences	the life experiences	of a particular theatrical family	of a particular theatrical family	left	the kind of art shots	the human tragedy	an action film	the origin story
the life experiences	the life experiences	of a particular theatrical family	of a particular theatrical family	right	of the characters	of the modern male	of female friendship	of brotherly conflict and reconciliation
a soothing formula	a soothing formula	of brotherly conflict and reconciliation	of brotherly conflict and reconciliation	left	an enjoyable film	this oddly sweet comedy	a compelling portrait	a moral tale
a soothing formula	a soothing formula	of brotherly conflict and reconciliation	of brotherly conflict and reconciliation	right	of a sick and evil woman	for people who haven't read the book	of entertainment and education	of intelligence and wit
a wry understanding	a wry understanding	of the quirks of fame	of the quirks of fame	left	a no+AC0-surprise series	the difficult subject	the contrived nature	the only fun part
a wry understanding	a wry understanding	of the quirks of fame	of the quirks of fame	right	of the game	of the sophomoric and the sublime	of the directing world	of life and death
a playful recapitulation	a playful recapitulation	of the artist 's career	of the artist's career	left	a cruelly funny twist	a powerful and deeply moving example	this unique and entertaining twist	a genuinely honest moment
a playful recapitulation	a playful recapitulation	of the artist 's career	of the artist's career	right	of modern moviemaking	of the original	of characters and motivations	of the year
the melodramatic aspects	the melodramatic aspects	start to overtake the comedy	start to overtake the comedy	left	spray cheese and underarm noises	the endless pratfalls	the measured pace and lack of dramatic inflection	a chafing inner loneliness and desperate grandiosity
the melodramatic aspects	the melodramatic aspects	start to overtake the comedy	start to overtake the comedy	right	make for adequate entertainment	make him the film's moral compass	are no cinematic sin	will be following after it
the cozy feeling	the cozy feeling	of relaxing around old friends	of relaxing around old friends	left	this likable movie	a rich tale	all the excitement	a great ending
the cozy feeling	the cozy feeling	of relaxing around old friends	of relaxing around old friends	right	of becoming a better person through love	of veracity and narrative grace	of vampire fun	of love and companionship
an acquired taste	an acquired taste	that takes time to enjoy	that takes time to enjoy	left	a daily grind	a tricky tightrope	the difficult relationship	this kind of material
an acquired taste	an acquired taste	that takes time to enjoy	that takes time to enjoy	right	that fills gallery shows	that holds society in place	that distinguishes the merely quirky from the surreal	that's at the center of the story
the playful paranoia	the playful paranoia	of the film 's past	of the film's past	left	the animation and backdrops	the drumming and the marching	murder and mayhem	the testimony of witnesses
the playful paranoia	the playful paranoia	of the film 's past	of the film's past	right	of its situation	of female angst	of decadent urbanity	of workaday inertia
a great actress	a great actress	tearing into a landmark role	tearing into a landmark role	left	a delightful comedy	a superb performance	a breathtakingly assured and stylish work	a promising young lad
a great actress	a great actress	tearing into a landmark role	tearing into a landmark role	right	is interesting and entertaining	is lovely and lovable	is meaningful or memorable	will probably find it fascinating
a snappy screenplay	a snappy screenplay	that curls at the edges	that curls at the edges	left	his resolutely dramatic variation	a sobering meditation	a minor picture	the acerbic repartee
a snappy screenplay	a snappy screenplay	that curls at the edges	that curls at the edges	right	that will never happen again	that malnourished intellectuals	that simply feels wrong	that inspired the movie
A minor picture	a minor picture	with a major identity crisis	with a major identity crisis	left	a glossy melodrama	a simple tale	a feature film	her inner journey
A minor picture	a minor picture	with a major identity crisis	with a major identity crisis	right	of portraying the devastation of this disease	to no particularly memorable effect	about otherwise dull subjects	of grief and loss
the real story	the real story	starts just around the corner	starts just around the corner	left	the emotional reality	a serious drama	his resolutely dramatic variation	a huge sacrifice
the real story	the real story	starts just around the corner	starts just around the corner	right	is just what you get	hidden in the film's thick shadows	can justify evil means	might blow it off the screen
this quality band	this quality band	may pick up new admirers	may pick up new admirers	left	plenty of funny movies	a non+AC0-threatening multi+AC0-character piece	a uniquely sensual metaphorical dramatization	an outrageous dark satire
this quality band	this quality band	may pick up new admirers	may pick up new admirers	right	isn't badly made	may look cool	brings them to life	is very original
a classroom play	a classroom play	in a college history course	in a college history course	left	a lunar mission	the uncertain girl	this novelistic story	the rowdy participants
a classroom play	a classroom play	in a college history course	in a college history course	right	for the audience	of pop+AC0-music history	as the beginning of the story	of urban kids
a retail clerk	a retail clerk	wanting more out of life	wanting more out of life	left	the noble characters	a prolific director	particularly eccentric people	a small star
a retail clerk	a retail clerk	wanting more out of life	wanting more out of life	right	is ultimately held back from being something greater	is a little peculiar	doesn't have an affair with a nutjob	makes you nervous
the very hollowness	the very hollowness	of the character he plays	of the character he plays	left	the downward spiral	the modern rut	a cruel story	the unceasing sadism
the very hollowness	the very hollowness	of the character he plays	of the character he plays	right	of a fall dawn	of the summer	of the narratives	of modern times
much of it	much of it	is good for a laugh	is good for a laugh	left	this novelistic story	the additional storyline	a plot twist	the new film
much of it	much of it	is good for a laugh	is good for a laugh	right	can be fertile sources of humor	is shockingly intimate	is universal and involving	is all fine
particularly eccentric people	particularly eccentric people	have particularly eccentric living spaces	have particularly eccentric living spaces	left	grouchy ayatollahs	prolific directors	these curious owners	the greatest natural sportsmen
particularly eccentric people	particularly eccentric people	have particularly eccentric living spaces	have particularly eccentric living spaces	right	search for their place in the world	playing in the film's background	involved in the process	are always the last one living
the tiniest segment	the tiniest segment	of an already obscure demographic	of an already obscure demographic	left	a motion picture	the ongoing +AC0- and unprecedented +AC0- construction project	the latest gimmick	its weighty themes
the tiniest segment	the tiniest segment	of an already obscure demographic	of an already obscure demographic	right	of shenanigans and slapstick	of awkward emotions	of an ignored people	of deja vu
a wonderous accomplishment	a wonderous accomplishment	of veracity and narrative grace	of veracity and narrative grace	left	a stunning lyrical work	the powerful work	an absolute delight	a delightful comedy
a wonderous accomplishment	a wonderous accomplishment	of veracity and narrative grace	of veracity and narrative grace	right	of a good vampire tale	of love and companionship	of sharp writing	of considerable force and truth
a chase flick	a chase flick	that detracts from its ending	that detracts from its ending	left	this film's cast	the catalytic effect	typical documentary footage	a poster boy
a chase flick	a chase flick	that detracts from its ending	that detracts from its ending	right	that's all too suspiciously smooth	that simply feels wrong	that's tough to shake	that malnourished intellectuals
the fierce grandeur	the fierce grandeur	of its sweeping battle scenes	of its sweeping battle scenes	left	the genuinely funny jokes	the multilayered work	its compassionate spirit	the insight and honesty
the fierce grandeur	the fierce grandeur	of its sweeping battle scenes	of its sweeping battle scenes	right	of an architect of pop culture	of charisma and menace	of moral right and wrong	of wit and dignity
an invaluable record	an invaluable record	of that special fishy community	of that special fishy community	left	this gentle and affecting melodrama	the original film	the emotional development	the nourishing aspects
an invaluable record	an invaluable record	of that special fishy community	of that special fishy community	right	of the modern male	of theater history	of brotherly conflict and reconciliation	of the victorious revolutionaries
all the eroticism	all the eroticism	of a good vampire tale	of a good vampire tale	left	a disreputable air	a deliberately unsteady mixture	the difficult subject	an acquired taste
all the eroticism	all the eroticism	of a good vampire tale	of a good vampire tale	right	of dreamlike ecstasy	of its provocative conclusion	of sharp writing	of an alternative lifestyle
a superb performance	a superb performance	in an admittedly middling film	in an admittedly middling film	left	the highest production values	a rare treat	scenes of cinematic perfection	a visually masterful work
a superb performance	a superb performance	in an admittedly middling film	in an admittedly middling film	right	in a world that thrives on artificiality	in the current climate of mergers and downsizing	in their underwritten roles	of the working poor
the grown men	the grown men	who sit in the stands	who sit in the stands	left	many of us	even cranky adults	better actors	sensitive married women
the grown men	the grown men	who sit in the stands	who sit in the stands	right	who read the book	who choose to champion their ultimately losing cause	that are at the center of the story	who definitely have something on their mind
a nice concept	a nice concept	for its fiftysomething leading ladies	for its fiftysomething leading ladies	left	such a good design	a gentle blend	a funny little movie	a solid formula
a nice concept	a nice concept	for its fiftysomething leading ladies	for its fiftysomething leading ladies	right	for a film	for a murder mystery	of a wading pool	of architectural oddities
the emotional blockage	the emotional blockage	that accompanies this human condition	that accompanies this human condition	left	the deepest notion	a whole segment	its weighty theme	the director's common but unexplored fascination
the emotional blockage	the emotional blockage	that accompanies this human condition	that accompanies this human condition	right	that set in at this time of year	that would make them redeemable	that's at the center of the story	that created it
the fleeting joys	the fleeting joys	of love 's brief moment	of love's brief moment	left	the romantic urgency	the richness of characterization	this gentle and affecting melodrama	the synergistic impulse
the fleeting joys	the fleeting joys	of love 's brief moment	of love's brief moment	right	of a couple's moral ascension	of human power	of emotional intimacy	of romantic comedy
a spiritual aspect	a spiritual aspect	of their characters ' suffering	of their characters' suffering	left	the full visceral impact	a funny yet dark and seedy clash	a great glimpse	the buoyant energy level
a spiritual aspect	a spiritual aspect	of their characters ' suffering	of their characters' suffering	right	of our times	of the past	of the character he plays	of the medium
a music scene	a music scene	that transcends culture and race	that transcends culture and race	left	a hallucinatory dreamscape	a delicate balance	a seriously intended movie	the emotional realities
a music scene	a music scene	that transcends culture and race	that transcends culture and race	right	that revels in its own simplicity	that inspired it	that allows the suit to come to life	that entertains even as it turns maddeningly predictable
sensitive married women	sensitive married women	who really love other women	who really love other women	left	blind men	the rowdy participants	actor and director	the other actors
sensitive married women	sensitive married women	who really love other women	who really love other women	right	who choose to champion their ultimately losing cause	that created it	who see themselves as impervious to a fall	who definitely have something on their mind
the emotional arc	the emotional arc	of its raw blues soundtrack	of its raw blues soundtrack	left	the comic elements	the true potential	a certain part	the subject matter
the emotional arc	the emotional arc	of its raw blues soundtrack	of its raw blues soundtrack	right	of a deeply personal subject	of a totalitarian tomorrow	of college football games	of personal loss
a clear case	a clear case	of preaching to the converted	of preaching to the converted	left	the additional storyline	almost every scene	its own grasp	its adult themes
a clear case	a clear case	of preaching to the converted	of preaching to the converted	right	of the working poor	of a meltdown	of office politics	of consolation candy
a strong sense	a strong sense	of the girls ' environment	of the girls' environment	left	a loquacious videologue	an artificial creation	typical documentary footage	this future world
a strong sense	a strong sense	of the girls ' environment	of the girls' environment	right	of the struggling artiste	of humor and technological finish	of theater history	of addressing a complex situation
the devastating horror	the devastating horror	suffered by an entire people	suffered by an entire people	left	a biting satire	the emotional development	the ultimate exercise	the fleeting joys
the devastating horror	the devastating horror	suffered by an entire people	suffered by an entire people	right	can also seem tedious	turns out to be a cheap knockoff	doesn't quite fit	is largely unexplored
his intelligent grasp	his intelligent grasp	of human foibles and contradictions	of human foibles and contradictions	left	her raw performance and utter fearlessness	the most creative mayhem	a funny little movie	an unusually vivid set
his intelligent grasp	his intelligent grasp	of human foibles and contradictions	of human foibles and contradictions	right	of his characters	of redemption and regeneration	of this picture	of children's television
its compassionate spirit	its compassionate spirit	soars every bit as high	soars every bit as high	left	his intelligent grasp	the delicious pulpiness	the buoyant energy level	solid female talent
its compassionate spirit	its compassionate spirit	soars every bit as high	soars every bit as high	right	is genial and decent	is a real charmer	is honestly affecting	is meaningful or memorable
an original treatment	an original treatment	of a deeply personal subject	of a deeply personal subject	left	an invaluable record	the nicest thing	a minor picture	a throwback war movie
an original treatment	an original treatment	of a deeply personal subject	of a deeply personal subject	right	of the singles scene	of their characters' suffering	of how to develop them	of this trifle
The entire point	the entire point	of a shaggy dog story	of a shaggy dog story	left	an action film	the central performers	the ins and outs	actor and director
The entire point	the entire point	of a shaggy dog story	of a shaggy dog story	right	of phony blood	of deja vu	of dislocation and change	of the war
the overall impact	the overall impact	the movie could have had	the movie could have had	left	a certain part	the same ideas	the moral dilemma	the end result
the overall impact	the overall impact	the movie could have had	the movie could have had	right	that was never planned	we can make	that dwarfs everything else in the film	that created it
their deepest notions	their deepest notions	of moral right and wrong	of moral right and wrong	left	the origin story	a root cause	the usual portrayals	the emotional arc
their deepest notions	their deepest notions	of moral right and wrong	of moral right and wrong	right	of the better film versions	of sensual empowerment	of a clever gimmick	of the comedy
a marathon runner	a marathon runner	trying to finish a race	trying to finish a race	left	the film's shooting schedule	the uncertain girl	a tart little lemon drop	a young woman
a marathon runner	a marathon runner	trying to finish a race	trying to finish a race	right	undergoing midlife crisis	involved in the process	doesn't just slip	disrupts life's stasis
an exhilarating exploration	an exhilarating exploration	of an odd love triangle	of an odd love triangle	left	a pretty convincing performance	all the excitement	a true adaptation	a compelling portrait
an exhilarating exploration	an exhilarating exploration	of an odd love triangle	of an odd love triangle	right	for older kids	of many of the characters	of gay culture	of eating oatmeal
the human story	the human story	is pushed to one side	is pushed to one side	left	the movie or the discussion	the helping hand	the unexpected blast	the emotional blockage
the human story	the human story	is pushed to one side	is pushed to one side	right	hidden in the film's thick shadows	buried beneath a spellbinding serpent 's smirk	starts just around the corner	is on display
Its weighty themes	Its weighty themes	are too grave for youngsters	are too grave for youngsters	left	its audacious ambitions	the unexpected blasts	ghost stories	the tooth and claw
Its weighty themes	Its weighty themes	are too grave for youngsters	are too grave for youngsters	right	are too obvious	remain just that: abstract ideas	can kill love	could make you weep
a morbid appeal	a morbid appeal	that 's tough to shake	that's tough to shake	left	the unexpected blast	this particular result	the wonder and menace	an emotional response
a morbid appeal	a morbid appeal	that 's tough to shake	that's tough to shake	right	that detracts from its ending	that will never happen again	that simply feels wrong	that malnourished intellectuals
The riveting performances	the riveting performances	by the incredibly flexible cast	by the incredibly flexible cast	left	a strong dramatic and emotional pull	a celebrated wonder	an enjoyable film	the consistently sensitive and often exciting treatment
The riveting performances	the riveting performances	by the incredibly flexible cast	by the incredibly flexible cast	right	of love and humility	of the victorious revolutionaries	of romantic innocence and philosophical depth	of love's brief moment
the contrived nature	the contrived nature	of its provocative conclusion	of its provocative conclusion	left	all the same problems	the real horror	a besotted and obvious drama	the thin soup
the contrived nature	the contrived nature	of its provocative conclusion	of its provocative conclusion	right	of the delicate characters	of the familiar masterpiece	of sharp writing	of a genre gem
a dualistic battle	a dualistic battle	between good and evil	between good and evil	left	the delicate tightrope	the emotional arc	this novelistic story	the volatile dynamics
a dualistic battle	a dualistic battle	between good and evil	between good and evil	right	between its stars	between the brothers	of emotional heft	of a screenplay
The noble tradition	the noble tradition	of men in drag	of men in drag	left	an especially poignant portrait	an enigmatic film	the opulent lushness	a thoughtful and unflinching examination
The noble tradition	the noble tradition	of men in drag	of men in drag	right	of mergers and downsizing	of lowbrow comedy	of our national psyche	of horror movies
a sad picture	a sad picture	of the singles scene	of the singles scene	left	some difficult relationships	the disappointingly generic nature	this strenuously unconventional movie	the modern rut
a sad picture	a sad picture	of the singles scene	of the singles scene	right	of architectural oddities	of everyday people	of characters and motivations	of the generation gap
this future world	this future world	feels absolutely deja vu	feels absolutely deja vu	left	the life experience	the most notable observation	your festive spirit	just a simple fable
this future world	this future world	feels absolutely deja vu	feels absolutely deja vu	right	makes you nervous	is too grave for youngsters	repeated in films over and over again	is an entirely foreign concept
the dutiful precision	the dutiful precision	of a tax accountant	of a tax accountant	left	the intellectual and emotional pedigree	an enigmatic film	the real story	a music scene
the dutiful precision	the dutiful precision	of a tax accountant	of a tax accountant	right	of canned humor	of gory mayhem	of melodramatic moviemaking	of the war
The final result	the final result	makes for adequate entertainment	makes for adequate entertainment	left	an impressionable kid	a new software program	the pilot episode	the sword fighting
The final result	the final result	makes for adequate entertainment	makes for adequate entertainment	right	becomes a part of its fun	meant to set you free	played a crucial role	will do it for you
a grouchy ayatollah	a grouchy ayatollah	in a cold mosque	in a cold mosque	left	the young stars	a testimonial dinner	a unique culture	the emotional realities
a grouchy ayatollah	a grouchy ayatollah	in a cold mosque	in a cold mosque	right	in this film	in his medium	in the world's religions	in recent history
a rare window	a rare window	on an artistic collaboration	on an artistic collaboration	left	this seductive tease	the dramatic scenes	a sleek advert	a love song
a rare window	a rare window	on an artistic collaboration	on an artistic collaboration	right	on the film radar	of middle age	for the big screen	for its audience
the ultimate mysteries	the ultimate mysteries	of life and death	of life and death	left	the vertiginous perspectives	this gentle and affecting melodrama	the emotional realities	the numerous scenes
the ultimate mysteries	the ultimate mysteries	of life and death	of life and death	right	of beach party pop numbers	of this trifle	of this ancient holistic healing system	of rural life
A simple tale	a simple tale	of an unlikely friendship	of an unlikely friendship	left	the psychological thriller	a snappy screenplay	the emotional realities	the film's messages of tolerance and diversity
A simple tale	a simple tale	of an unlikely friendship	of an unlikely friendship	right	of cat and mouse	of characters and angles	of children's television	of our national psyche
many tired jokes	many tired jokes	about men in heels	about men in heels	left	just a simple fable	a tart little lemon drop	a literary detective story	an action film
many tired jokes	many tired jokes	about men in heels	about men in heels	right	of everyday people	of the character he plays	at the story's core	of emotional heft
easily accessible stories	easily accessible stories	that resonate with profundity	that resonate with profundity	left	father and son connections	earnest debuts	minutely detailed wonders	carefully balanced scenarios
easily accessible stories	easily accessible stories	that resonate with profundity	that resonate with profundity	right	that keep people going in this crazy life	that transport you	that earn their moments of pathos	that frustrate and captivate
a main character	a main character	who sometimes defies sympathy	who sometimes defies sympathy	left	the otherwise compelling director	a dinner guest	the central performer	the helping hand
a main character	a main character	who sometimes defies sympathy	who sometimes defies sympathy	right	that's all too suspiciously smooth	that malnourished intellectuals	that is not easily forgotten	that's tough to shake
The modern master	the modern master	of the chase sequence	of the chase sequence	left	a great deal	a compelling portrait	a fascinating study	a realistic atmosphere
The modern master	the modern master	of the chase sequence	of the chase sequence	right	of this slapstick comedy	of the world	of cultures and generations	of growing up
the extravagant confidence	the extravagant confidence	of the exiled aristocracy	of the exiled aristocracy	left	this wonderful portrait	the great films	a compelling slice	a genuinely honest moment
the extravagant confidence	the extravagant confidence	of the exiled aristocracy	of the exiled aristocracy	right	of modern love life	of the marketplace	of the struggling artiste	of theater history
a wonderful tale	a wonderful tale	of love and destiny	of love and destiny	left	the film's easygoing blend	a non+AC0-threatening multi+AC0-character piece	a pleasant enough romance	a worthwhile topic
a wonderful tale	a wonderful tale	of love and destiny	of love and destiny	right	of a genre gem	of familial separation and societal betrayal	of the world's greatest teacher	for the whole family
a crusty treatment	a crusty treatment	of a clever gimmick	of a clever gimmick	left	the choking sense	the central flaw	its rather routine script	a no+AC0-surprise series
a crusty treatment	a crusty treatment	of a clever gimmick	of a clever gimmick	right	of comedy and romance	of moral right and wrong	of love and bloodletting	of painting this family dynamic for the audience
a litmus test	a litmus test	of the generation gap	of the generation gap	left	the very concept	the peculiar egocentricities	the overall impact	the wistful everyday ironies
a litmus test	a litmus test	of the generation gap	of the generation gap	right	of a totalitarian tomorrow	of tolerance and diversity	of the combatants	of its raw blues soundtrack
the difficult process	the difficult process	of adapting to loss	of adapting to loss	left	the cultural and moral issues	a motion picture	the complicated relationships	its audacious ambitions
the difficult process	the difficult process	of adapting to loss	of adapting to loss	right	of its characters' lives	of a particular theatrical family	of addressing a complex situation	of a sudden lunch rush at the diner
an original idea	an original idea	for a teen movie	for a teen movie	left	the true impact	an unusually vivid set	a strangely tempting bouquet	such a clever adaptation
an original idea	an original idea	for a teen movie	for a teen movie	right	of the band	for successful animated movies	for the most part	for precollegiate humor
half the fun	half the fun	of college football games	of college football games	left	that greasy little vidgame pit	the overall feel	its audacious ambitions	the meaning and consolation
half the fun	half the fun	of college football games	of college football games	right	of youth culture	of the play	of the entire effort	of eating oatmeal
its formidable arithmetic	its formidable arithmetic	of cameras and souls	of cameras and souls	left	a disreputable air	a muddled drama	a tricky tightrope	the difficult subject
its formidable arithmetic	its formidable arithmetic	of cameras and souls	of cameras and souls	right	of the sophomoric and the sublime	of children's television	of cat and mouse	of a man's body
the dark places	the dark places	of our national psyche	of our national psyche	left	the cultural and moral issues	the human story	the unexpected blast	the subject matter
the dark places	the dark places	of our national psyche	of our national psyche	right	of average people	of rural life	of the film's city beginnings	of present day testimonials
a no+AC0-surprise series	a no+AC0-surprise series	of explosions and violence	of explosions and violence	left	the real horror	his problematic quest	a muddled drama	the fanatical excess
a no+AC0-surprise series	a no+AC0-surprise series	of explosions and violence	of explosions and violence	right	of lowbrow comedy	of the combatants	of modern times	of an unlikely friendship
those of you	those of you	who read the book	who read the book	left	the other actors	this noble warlord	the title character	each of them
those of you	those of you	who read the book	who read the book	right	that should move quickly	who really love other women	that tend to characterize puberty	that distinguish the merely quirky from the surreal
The unceasing sadism	the unceasing sadism	is so graphically excessive	is so graphically excessive	left	the rather clumsy original	this poor remake	the protagonists' bohemian boorishness	the film's almost unbearable portrait
The unceasing sadism	the unceasing sadism	is so graphically excessive	is so graphically excessive	right	is a little peculiar	is too manipulative	makes you nervous	feels absolutely deja vu
an enjoyable film	an enjoyable film	in its own right	in its own right	left	a real flair	some delightful work	a clever and captivating romantic comedy	an irresistible blend
an enjoyable film	an enjoyable film	in its own right	in its own right	right	of modern love life	of the exiled aristocracy	of addressing a complex situation	of that special fishy community
this wonderful portrait	this wonderful portrait	of a conflicted soldier	of a conflicted soldier	left	beautifully detailed performances	a fascinating study	a refreshingly serious look	the kind of genuine depth
this wonderful portrait	this wonderful portrait	of a conflicted soldier	of a conflicted soldier	right	of urban desperation	of gory mayhem	of dislocation and change	of office politics
a happy ending	a happy ending	is no cinematic sin	is no cinematic sin	left	a harrowing drama	its compassionate spirit	an affectionately goofy satire	the exotic world
a happy ending	a happy ending	is no cinematic sin	is no cinematic sin	right	makes for adequate entertainment	is as adult as you can get	will have luvvies in raptures	appearing on behalf of a good cause
the difficult subject	the difficult subject	of grief and loss	of grief and loss	left	his own idiosyncratic strain	the central flaw	all the dramatic weight	the conflicted complexity
the difficult subject	the difficult subject	of grief and loss	of grief and loss	right	of a truly frightening situation	of continuity errors	of gun violence	of hollow despair
those young whippersnappers	those young whippersnappers	making moving pictures today	making moving pictures today	left	poster boys	a large cast	the men and machines	actors and directors
those young whippersnappers	those young whippersnappers	making moving pictures today	making moving pictures today	right	are genuinely witty	bring them to life	playing smart people amid a compelling plot	may look cool
the delicious pulpiness	the delicious pulpiness	of its lurid fiction	of its lurid fiction	left	his surprising discovery	the momentary joys	the full visceral impact	a fairly irresistible package
the delicious pulpiness	the delicious pulpiness	of its lurid fiction	of its lurid fiction	right	of sensual empowerment	of the modern male	of the marketplace	of making them jell
the overlooked pitfalls	the overlooked pitfalls	of such an endeavour	of such an endeavour	left	stagy set pieces	the crazy things	its weighty themes	the art direction and costumes
the overlooked pitfalls	the overlooked pitfalls	of such an endeavour	of such an endeavour	right	of the band	of the comedy	of love and bloodletting	of middle age
the seamy underbelly	the seamy underbelly	of the criminal world	of the criminal world	left	a wry understanding	its rather routine script	a no+AC0-surprise series	those underrated professionals
the seamy underbelly	the seamy underbelly	of the criminal world	of the criminal world	right	of the movies	of female friendship	of romantic comedy	of that special fishy community
the nourishing aspects	the nourishing aspects	of love and companionship	of love and companionship	left	an unlimited amount	this gentle and affecting melodrama	all the depth	a hallucinatory dreamscape
the nourishing aspects	the nourishing aspects	of love and companionship	of love and companionship	right	of an alternative lifestyle	of veracity and narrative grace	of a sports extravaganza	of entangled interrelationships and complex morality
a great actress	a great actress	portraying a complex character	portraying a complex character	left	an amazing performance	a visually masterful work	a promising young lad	a superb performance
a great actress	a great actress	portraying a complex character	portraying a complex character	right	makes it strangely magnetic	showing off her doctorate	making moving pictures today	portraying ultimate passion
the cruel earnestness	the cruel earnestness	of the victorious revolutionaries	of the victorious revolutionaries	left	the emotional development	a haunting dramatization	a serious drama	a sobering meditation
the cruel earnestness	the cruel earnestness	of the victorious revolutionaries	of the victorious revolutionaries	right	of dramatic interest	of romantic comedy	of the girls' environment	of adapting to loss
a flattering sense	a flattering sense	of mystery and quietness	of mystery and quietness	left	this wonderful portrait	the lustrous polished visuals	a realistic atmosphere	a good deal
a flattering sense	a flattering sense	of mystery and quietness	of mystery and quietness	right	of their own pasts	of their characters' suffering	of the summer	of this true story
A gentle blend	a gentle blend	of present day testimonials	of present day testimonials	left	a strangely tempting bouquet	the buoyant energy level	the sheer beauty	the value and respect
A gentle blend	a gentle blend	of present day testimonials	of present day testimonials	right	of explosions and violence	of mystery and quietness	of both sides	of emotional heft
the visceral excitement	the visceral excitement	of a sports extravaganza	of a sports extravaganza	left	the fierce grandeur	the expressive power	the sheer beauty	that extra little something
the visceral excitement	the visceral excitement	of a sports extravaganza	of a sports extravaganza	right	of the acting breed	of daring films	of a genre gem	of an alternative lifestyle
a fascinating study	a fascinating study	of isolation and frustration	of isolation and frustration	left	the vivid lead performances	this unique and entertaining twist	the kind of genuine depth	this wonderful portrait
a fascinating study	a fascinating study	of isolation and frustration	of isolation and frustration	right	of urban desperation	of the absurd	of an already obscure demographic	of phony blood
the hollow state	the hollow state	of modern love life	of modern love life	left	a tricky tightrope	the fanatical excess	all the dysfunctional family dynamics	the biggest problem
the hollow state	the hollow state	of modern love life	of modern love life	right	of wit and dignity	of a sick and evil woman	of middle age	of the characters
the visual wit	the visual wit	of the previous pictures	of the previous pictures	left	the momentary joys	an oddly fascinating depiction	the depth and breadth	a happy ending
the visual wit	the visual wit	of the previous pictures	of the previous pictures	right	of a screenplay	of beach party pop numbers	of this sort	of the game
the upbeat ending	the upbeat ending	feels like a copout	feels like a copout	left	a bright future	this likable movie	the intelligent romantic comedy	the remarkable ensemble cast
the upbeat ending	the upbeat ending	feels like a copout	feels like a copout	right	is no picnic	makes a lick of sense	is certainly not earthshaking	may not satisfy every moviegoer's appetite
the annoying demeanour	the annoying demeanour	of its lead character	of its lead character	left	a major problem	a pale imitation	an overlong visit	the dull effects
the annoying demeanour	the annoying demeanour	of its lead character	of its lead character	right	of a movie	of the plot	of their characters' suffering	of the respected critical community in this country
a sharp movie	a sharp movie	about otherwise dull subjects	about otherwise dull subjects	left	a fanciful film	a nice concept	an oddly fascinating depiction	a harrowing drama
a sharp movie	a sharp movie	about otherwise dull subjects	about otherwise dull subjects	right	of a script in need of polishing	of gun violence	of a truly frightening situation	of portraying the devastation of this disease
Most fish stories	most fish stories	are a little peculiar	are a little peculiar	left	the most multilayered and sympathetic female characters	these holiday movies	the video games	his resolutely dramatic variations
Most fish stories	most fish stories	are a little peculiar	are a little peculiar	right	come to share airtime alongside the farm report	seem like mere splashing around in the muck	can be found a tough beauty	are not explored very deeply
a hallucinatory dreamscape	a hallucinatory dreamscape	that frustrates and captivates	that frustrates and captivates	left	the emotional reality	a glossy melodrama	the movie's power	a technological exercise
a hallucinatory dreamscape	a hallucinatory dreamscape	that frustrates and captivates	that frustrates and captivates	right	that earns its moments of pathos	that transcends their predicament	that revels in its own simplicity	that inspired it
all sexual desire	all sexual desire	disrupts life 's stasis	disrupts life's stasis	left	the current climate	one's imagination	the film's message of tolerance and diversity	the rare sequel
all sexual desire	all sexual desire	disrupts life 's stasis	disrupts life's stasis	right	is on display	keeps him at arms length	centered around a public bath house	is going to show up soon
everyone making it	everyone making it	lost their movie mojo	lost their movie mojo	left	an old friend	the current climate	a mysterious creature	the respected critical community
everyone making it	everyone making it	lost their movie mojo	lost their movie mojo	right	acts in ways that real people wouldn't	may wonder why it's necessary	can also seem tedious	having a nightmare about bad cinema
their best work	their best work	in their underwritten roles	in their underwritten roles	left	beautifully detailed performances	a rollicking good time	an exhilarating exploration	a cruelly funny twist
